Apple_12.4
Android_9
Apple_12.3.1
Apple_12.0
Android_8.1.0
Apple_12.2
Android_4.1.2
Apple_11.4.1
Apple_12.1.4
Android_8.0.0
Android_5.1
Android_4.4
Apple_12.1.2
Android_7.1.1
Android_6.0.1
Apple_12.4.1
Android_6.0
Apple_12.3.2
Android_5.0
Apple_12.1
Android_4.2.2
Apple_12.0.1
Apple_11.4
Android_4.2
Android_7.0
Android_4.3
Android_7.1.2
Apple_11.3.1
Apple_10.3.3
Android_4.1.1
Apple_11.3
Apple_11.2.6
Apple_11.1.2
Apple_11.2.1
Apple_12.3
Apple_11.2.5
Android_5.1.1
Apple_10.2.1
Apple_10.3.2
Apple_10.2
Apple_11.0.3
Android_4.0.4
Apple_11.2.2
Apple_10.1.1
Apple_11.2
Apple_12.1.1
Apple_11.0
Apple_12.1.3
Android_4.1
Apple_10.3.1
Apple_11.1.1
Apple_11.1
Apple_9.3.2
Apple_10.0.2
Apple_11.0.2
Android_4.0
Android_4.2.1
Android_4.4.4
Apple_9.1
Apple_11.0.1
Apple_9.2.1
Apple_13.1
Apple_9.3.5
Apple_9.2
Apple_9.3.1
Apple_10.0.1
Apple_9.3.4
Apple_13.0
Android_4.0.3
Apple_10.1
Apple_9.3.3
Android_5.0.2
Apple_9.0.2
Apple_8.3
Apple_10.0
Apple_9.3
Apple_10.3
Apple_8.1.2
Apple_10.0.3
Apple_8.4
Apple_8.2
Android_4.4.2
Apple_9.0
Apple_8.4.1
Apple_8.1.3
Apple_9.0.1
Apple_8.1
Apple_8.1.1
Android_10
Android_7.0.0
Android_2.3.4
Apple_8.0
Android_5.0.1
Apple_8.0.2
Android_8.0
Android_9.0
Android_7.1
Android_8.1
Android_9.1
Android_4.4.3
Android_6.1
Android_8
Android_8.0.1
Android_JiangNan
Android_9.0.0 Mikita
Android_
Android_7.0.1
